X,Y,Theta
[ 0.0044518],[  3.14120814e-08],[ -2.32431967e-35],[ 0.]
[ 0.01170493],[  8.25903376e-08],[ -9.66403293e-35],[ 0.]
[ 0.02155186],[  1.52070608e-07],[  3.78556201e-34],[ 0.]
[ 0.03378509],[  2.38388738e-07],[ -2.00251340e-34],[ 0.]
[ 0.04819713],[  3.40080562e-07],[ -5.73723528e-34],[ 0.]
[ 0.06458047],[  4.55681912e-07],[  4.07778990e-34],[ 0.]
[ 0.0827276],[  5.83728636e-07],[  4.81035798e-34],[ 0.]
[ 0.10243101],[  7.22756565e-07],[ -1.51547083e-33],[ 0.]
[ 0.1234832],[  8.71301539e-07],[  1.17996123e-33],[ 0.]
[ 0.14567667],[  1.02789941e-06],[  1.68194434e-33],[ 0.]
[ 0.16880392],[  1.19108600e-06],[  1.91041342e-33],[ 0.]
[ 0.19265743],[  1.35939717e-06],[ -1.93862528e-33],[ 0.]
[ 0.2170297],[  1.53136874e-06],[ -1.78219050e-33],[ 0.]
[ 0.24171323],[  1.70553654e-06],[ -1.86320557e-33],[ 0.]
[ 0.26650052],[  1.88043644e-06],[ -2.90427038e-33],[ 0.]
[ 0.29118405],[  2.05460424e-06],[  3.17773739e-33],[ 0.]
[ 0.31555632],[  2.22657581e-06],[  3.33417218e-33],[ 0.]
[ 0.33940983],[  2.39488698e-06],[  5.64810930e-33],[ 0.]
[ 0.36253708],[  2.55807357e-06],[ -2.86350424e-34],[ 0.]
[ 0.38473055],[  2.71467146e-06],[ -5.50827249e-33],[ 0.]
[ 0.40578275],[  2.86321645e-06],[  7.07647599e-34],[ 0.]
[ 0.42548616],[  3.00224439e-06],[ -8.49835396e-34],[ 0.]
[ 0.44363329],[  3.13029114e-06],[  5.82546788e-33],[ 0.]
[ 0.46001663],[  3.24589250e-06],[ -1.99852848e-33],[ 0.]
[ 0.47442867],[  3.34758434e-06],[  5.77083091e-33],[ 0.]
[ 0.48666191],[  3.43390249e-06],[ -5.92449153e-33],[ 0.]
[ 0.49650885],[  3.50338278e-06],[  3.57369091e-33],[ 0.]
[ 0.50376197],[  3.55456106e-06],[  1.84768904e-33],[ 0.]
[ 0.50821378],[  3.58597317e-06],[ -2.57941076e-33],[ 0.]
[ 0.50965677],[  3.59615494e-06],[  5.75804153e-34],[ 0.]
[ 0.50788343],[  3.58364221e-06],[ -3.93527297e-33],[ 0.]
[ 0.50754995],[-0.00133377],[ -1.44444746e-34],[ 0.]
[ 0.50723105],[-0.00261269],[  1.73333695e-33],[ 0.]
[ 0.50692563],[-0.0038375],[ -3.94815639e-33],[ 0.]
[ 0.50663263],[-0.00501255],[ -3.85185989e-34],[ 0.]
[ 0.50635095],[-0.00614214],[ -3.27408091e-33],[ 0.]
[ 0.50607954],[-0.00723061],[  5.77778983e-33],[ 0.]
[ 0.50581729],[-0.0082823],[ -4.81482486e-33],[ 0.]
[ 0.50556314],[-0.00930152],[ -2.69630192e-33],[ 0.]
[ 0.50531601],[-0.01029261],[ -6.16297582e-33],[ 0.]
[ 0.50507481],[-0.01125989],[  3.08148791e-33],[ 0.]
[ 0.50483847],[-0.0122077],[ -4.23704588e-33],[ 0.]
[ 0.5046059],[-0.01314036],[  1.92592994e-33],[ 0.]
[ 0.50437604],[-0.01406219],[  3.85185989e-33],[ 0.]
[ 0.50414779],[-0.01497753],[ -3.08148791e-33],[ 0.]
[ 0.50392008],[-0.01589071],[ -1.54074396e-33],[ 0.]
[ 0.50369184],[-0.01680606],[  3.85185989e-33],[ 0.]
[ 0.50346197],[-0.01772789],[  6.16297582e-33],[ 0.]
[ 0.50322941],[-0.01866055],[ 0.],[ 0.]
[ 0.50299306],[-0.01960836],[  5.39260384e-33],[ 0.]
[ 0.50275187],[-0.02057564],[  2.31111593e-33],[ 0.]
[ 0.50250473],[-0.02156673],[ -1.54074396e-33],[ 0.]
[ 0.50225058],[-0.02258595],[ -1.54074396e-33],[ 0.]
[ 0.50198834],[-0.02363764],[ 0.],[ 0.]
[ 0.50171692],[-0.02472611],[ -3.85185989e-33],[ 0.]
[ 0.50143525],[-0.0258557],[  3.85185989e-33],[ 0.]
[ 0.50114224],[-0.02703075],[ -4.62223187e-33],[ 0.]
[ 0.50083683],[-0.02825556],[ 0.],[ 0.]
[ 0.50051792],[-0.02953448],[ -7.70371978e-34],[ 0.]
[ 0.50018444],[-0.03087183],[ 0.],[ 0.]
[ 0.49983532],[-0.03227194],[ -1.54074396e-33],[ 0.]
[ 0.49946946],[-0.03373914],[ -7.70371978e-34],[ 0.]
[ 0.4984792],[-0.03484622],[  4.62223187e-33],[ 0.]
[ 0.49746264],[-0.03598269],[  4.62223187e-33],[ 0.]
[ 0.49642174],[-0.03714638],[  3.08148791e-33],[ 0.]
[ 0.49535844],[-0.03833511],[ -6.16297582e-33],[ 0.]
[ 0.49427469],[-0.03954669],[  4.62223187e-33],[ 0.]
[ 0.49317244],[-0.04077897],[  3.08148791e-33],[ 0.]
[ 0.49205363],[-0.04202975],[ -4.62223187e-33],[ 0.]
[ 0.49092022],[-0.04329686],[ -4.62223187e-33],[ 0.]
[ 0.48977414],[-0.04457812],[ -3.08148791e-33],[ 0.]
[ 0.48861736],[-0.04587136],[  1.54074396e-33],[ 0.]
[ 0.48745181],[-0.0471744],[ -3.08148791e-33],[ 0.]
[ 0.48627945],[-0.04848505],[  4.62223187e-33],[ 0.]
[ 0.48510221],[-0.04980115],[ -4.62223187e-33],[ 0.]
[ 0.48392206],[-0.05112052],[ 0.],[ 0.]
[ 0.48274093],[-0.05244098],[  4.62223187e-33],[ 0.]
[ 0.48156077],[-0.05376034],[ -4.62223187e-33],[ 0.]
[ 0.48038354],[-0.05507644],[ -1.54074396e-33],[ 0.]
[ 0.47921118],[-0.0563871],[  4.62223187e-33],[ 0.]
[ 0.47804563],[-0.05769014],[ -1.54074396e-33],[ 0.]
[ 0.47688884],[-0.05898337],[  4.62223187e-33],[ 0.]
[ 0.47574277],[-0.06026464],[  4.62223187e-33],[ 0.]
[ 0.47460936],[-0.06153175],[  3.08148791e-33],[ 0.]
[ 0.47349055],[-0.06278253],[  3.08148791e-33],[ 0.]
[ 0.4723883],[-0.0640148],[ 0.],[ 0.]
[ 0.47130455],[-0.06522639],[ -4.62223187e-33],[ 0.]
[ 0.47024125],[-0.06641512],[ -3.08148791e-33],[ 0.]
[ 0.46920035],[-0.0675788],[  4.62223187e-33],[ 0.]
[ 0.46818379],[-0.06871527],[  1.54074396e-33],[ 0.]
[ 0.46719353],[-0.06982235],[ -6.16297582e-33],[ 0.]
[ 0.4662315],[-0.07089786],[  6.16297582e-33],[ 0.]
[ 0.46596837],[-0.07223362],[  6.16297582e-33],[ 0.]
[ 0.46571992],[-0.0734949],[ 0.],[ 0.]
[ 0.46548504],[-0.07468721],[  3.08148791e-33],[ 0.]
[ 0.46526267],[-0.07581606],[  3.08148791e-33],[ 0.]
[ 0.46505171],[-0.07688697],[ 0.],[ 0.]
[ 0.46485108],[-0.07790547],[  6.16297582e-33],[ 0.]
[ 0.46465969],[-0.07887706],[ 0.],[ 0.]
[ 0.46447645],[-0.07980728],[ -6.16297582e-33],[ 0.]
[ 0.46430027],[-0.08070162],[ 0.],[ 0.]
[ 0.46413007],[-0.08156562],[ -3.08148791e-33],[ 0.]
[ 0.46396476],[-0.08240479],[  6.16297582e-33],[ 0.]
[ 0.46380326],[-0.08322464],[ -3.08148791e-33],[ 0.]
[ 0.46364448],[-0.0840307],[ 0.],[ 0.]
[ 0.46348732],[-0.08482849],[ 0.],[ 0.]
[ 0.46333071],[-0.08562351],[ 0.],[ 0.]
[ 0.46317356],[-0.0864213],[ -3.08148791e-33],[ 0.]
[ 0.46301477],[-0.08722736],[ -3.08148791e-33],[ 0.]
[ 0.46285327],[-0.08804721],[ 0.],[ 0.]
[ 0.46268796],[-0.08888638],[ -6.16297582e-33],[ 0.]
[ 0.46251776],[-0.08975038],[ -3.08148791e-33],[ 0.]
[ 0.46234159],[-0.09064472],[ 0.],[ 0.]
[ 0.46215835],[-0.09157493],[  3.08148791e-33],[ 0.]
[ 0.46196695],[-0.09254653],[ 0.],[ 0.]
[ 0.46176632],[-0.09356502],[  6.16297582e-33],[ 0.]
[ 0.46155536],[-0.09463594],[  3.08148791e-33],[ 0.]
[ 0.46133299],[-0.09576479],[ -3.08148791e-33],[ 0.]
[ 0.46109812],[-0.09695709],[  3.08148791e-33],[ 0.]
[ 0.46084966],[-0.09821837],[ -3.08148791e-33],[ 0.]
[ 0.46058653],[-0.09955414],[ -3.08148791e-33],[ 0.]
[ 0.46030764],[-0.10096992],[ -3.08148791e-33],[ 0.]
[ 0.4600119],[-0.10247122],[ -3.08148791e-33],[ 0.]
[ 0.45979857],[-0.1038198],[ -3.08148791e-33],[ 0.]
[ 0.45959653],[-0.10509699],[ -3.08148791e-33],[ 0.]
[ 0.45940495],[-0.10630808],[  6.16297582e-33],[ 0.]
[ 0.45922299],[-0.10745835],[  3.08148791e-33],[ 0.]
[ 0.45904982],[-0.10855309],[  3.08148791e-33],[ 0.]
[ 0.45888459],[-0.1095976],[ -3.08148791e-33],[ 0.]
[ 0.45872647],[-0.11059716],[ -6.16297582e-33],[ 0.]
[ 0.45857463],[-0.11155705],[ -3.08148791e-33],[ 0.]
[ 0.45842822],[-0.11248257],[ -3.08148791e-33],[ 0.]
[ 0.45828641],[-0.11337901],[  6.16297582e-33],[ 0.]
[ 0.45814837],[-0.11425165],[ -3.08148791e-33],[ 0.]
[ 0.45801326],[-0.11510577],[ -3.08148791e-33],[ 0.]
[ 0.45788024],[-0.11594668],[ 0.],[ 0.]
[ 0.45774847],[-0.11677966],[ -3.08148791e-33],[ 0.]
[ 0.45761712],[-0.11760999],[ 0.],[ 0.]
[ 0.45748536],[-0.11844297],[ -6.16297582e-33],[ 0.]
[ 0.45735234],[-0.11928388],[ -3.08148791e-33],[ 0.]
[ 0.45721722],[-0.12013801],[  3.08148791e-33],[ 0.]
[ 0.45707918],[-0.12101064],[  3.08148791e-33],[ 0.]
[ 0.45693738],[-0.12190708],[  3.08148791e-33],[ 0.]
[ 0.45679097],[-0.1228326],[ -3.08148791e-33],[ 0.]
[ 0.45663913],[-0.1237925],[  3.08148791e-33],[ 0.]
[ 0.45648101],[-0.12479205],[ -3.08148791e-33],[ 0.]
[ 0.45631578],[-0.12583656],[ 0.],[ 0.]
[ 0.4561426],[-0.1269313],[ -3.08148791e-33],[ 0.]
[ 0.45596065],[-0.12808158],[ 0.],[ 0.]
[ 0.45576907],[-0.12929266],[ 0.],[ 0.]
[ 0.45556703],[-0.13056986],[ -3.08148791e-33],[ 0.]
[ 0.4553537],[-0.13191844],[ -6.16297582e-33],[ 0.]
[ 0.45512824],[-0.1333437],[ -3.08148791e-33],[ 0.]
[ 0.45476057],[-0.13469616],[ 0.],[ 0.]
[ 0.45440303],[-0.13601139],[ 0.],[ 0.]
[ 0.45405485],[-0.13729214],[  6.16297582e-33],[ 0.]
[ 0.4537153],[-0.13854118],[ 0.],[ 0.]
[ 0.45338362],[-0.13976126],[ 0.],[ 0.]
[ 0.45305906],[-0.14095514],[ 0.],[ 0.]
[ 0.45274088],[-0.14212558],[ -6.16297582e-33],[ 0.]
[ 0.45242831],[-0.14327533],[ 0.],[ 0.]
[ 0.45212062],[-0.14440716],[  6.16297582e-33],[ 0.]
[ 0.45181706],[-0.14552382],[ -6.16297582e-33],[ 0.]
[ 0.45151687],[-0.14662807],[  6.16297582e-33],[ 0.]
[ 0.4512193],[-0.14772267],[ 0.],[ 0.]
[ 0.45092361],[-0.14881037],[ 0.],[ 0.]
[ 0.45062904],[-0.14989393],[  6.16297582e-33],[ 0.]
[ 0.45033484],[-0.15097612],[ 0.],[ 0.]
[ 0.45004028],[-0.15205969],[ 0.],[ 0.]
[ 0.44974458],[-0.15314739],[ 0.],[ 0.]
[ 0.44944701],[-0.15424199],[ -6.16297582e-33],[ 0.]
[ 0.44914682],[-0.15534624],[ 0.],[ 0.]
[ 0.44884326],[-0.1564629],[  6.16297582e-33],[ 0.]
[ 0.44853557],[-0.15759472],[ -6.16297582e-33],[ 0.]
[ 0.44822301],[-0.15874448],[ 0.],[ 0.]
[ 0.44790482],[-0.15991492],[ 0.],[ 0.]
[ 0.44758026],[-0.1611088],[ 0.],[ 0.]
[ 0.44724858],[-0.16232888],[ -6.16297582e-33],[ 0.]
[ 0.44690903],[-0.16357792],[ -6.16297582e-33],[ 0.]
[ 0.44656086],[-0.16485867],[ 0.],[ 0.]
[ 0.44620331],[-0.1661739],[ -6.16297582e-33],[ 0.]
[ 0.44583564],[-0.16752636],[ 0.],[ 0.]
[ 0.4454571],[-0.16891881],[ -6.16297582e-33],[ 0.]
[ 0.44497277],[-0.17019942],[ 0.],[ 0.]
[ 0.44451277],[-0.17141573],[ 0.],[ 0.]
[ 0.44407528],[-0.1725725],[ 0.],[ 0.]
[ 0.4436585],[-0.1736745],[ 0.],[ 0.]
[ 0.44326065],[-0.17472648],[ 0.],[ 0.]
[ 0.4428799],[-0.1757332],[ 0.],[ 0.]
[ 0.44251447],[-0.17669944],[ 0.],[ 0.]
[ 0.44216255],[-0.17762996],[ 0.],[ 0.]
[ 0.44182234],[-0.17852951],[ 0.],[ 0.]
[ 0.44149204],[-0.17940287],[ 0.],[ 0.]
[ 0.44116984],[-0.18025479],[ 0.],[ 0.]
[ 0.44085395],[-0.18109004],[ 0.],[ 0.]
[ 0.44054256],[-0.18191338],[ 0.],[ 0.]
[ 0.44023388],[-0.18272958],[ 0.],[ 0.]
[ 0.4399261],[-0.1835434],[ 0.],[ 0.]
[ 0.43961741],[-0.18435959],[ 0.],[ 0.]
[ 0.43930602],[-0.18518294],[ 0.],[ 0.]
[ 0.43899013],[-0.18601819],[ 0.],[ 0.]
[ 0.43866794],[-0.18687011],[ 0.],[ 0.]
[ 0.43833763],[-0.18774346],[ 0.],[ 0.]
[ 0.43799742],[-0.18864302],[ 0.],[ 0.]
[ 0.4376455],[-0.18957353],[ 0.],[ 0.]
[ 0.43728007],[-0.19053977],[ 0.],[ 0.]
[ 0.43689933],[-0.1915465],[ 0.],[ 0.]
[ 0.43650147],[-0.19259848],[ 0.],[ 0.]
[ 0.4360847],[-0.19370048],[ 0.],[ 0.]
[ 0.43564721],[-0.19485725],[ 0.],[ 0.]
[ 0.4351872],[-0.19607356],[ 0.],[ 0.]
[ 0.43470287],[-0.19735417],[ 0.],[ 0.]
[ 0.43419242],[-0.19870386],[ 0.],[ 0.]
[ 0.43362401],[-0.19994368],[ 0.],[ 0.]
[ 0.43308628],[-0.20111658],[ 0.],[ 0.]
[ 0.43257696],[-0.20222751],[ 0.],[ 0.]
[ 0.43209377],[-0.20328144],[ 0.],[ 0.]
[ 0.43163445],[-0.20428331],[ 0.],[ 0.]
[ 0.43119671],[-0.20523809],[ 0.],[ 0.]
[ 0.4307783],[-0.20615074],[ 0.],[ 0.]
[ 0.43037693],[-0.2070262],[ 0.],[ 0.]
[ 0.42999034],[-0.20786945],[ 0.],[ 0.]
[ 0.42961624],[-0.20868543],[ 0.],[ 0.]
[ 0.42925237],[-0.2094791],[ 0.],[ 0.]
[ 0.42889646],[-0.21025542],[ 0.],[ 0.]
[ 0.42854622],[-0.21101934],[ 0.],[ 0.]
[ 0.4281994],[-0.21177584],[ 0.],[ 0.]
[ 0.42785371],[-0.21252985],[ 0.],[ 0.]
[ 0.42750689],[-0.21328634],[ 0.],[ 0.]
[ 0.42715666],[-0.21405027],[ 0.],[ 0.]
[ 0.42680074],[-0.21482659],[ 0.],[ 0.]
[ 0.42643687],[-0.21562026],[ 0.],[ 0.]
[ 0.42606278],[-0.21643624],[ 0.],[ 0.]
[ 0.42567618],[-0.21727948],[ 0.],[ 0.]
[ 0.42527481],[-0.21815494],[ 0.],[ 0.]
[ 0.4248564],[-0.21906759],[ 0.],[ 0.]
[ 0.42441867],[-0.22002237],[ 0.],[ 0.]
[ 0.42395935],[-0.22102424],[ 0.],[ 0.]
[ 0.42347616],[-0.22207817],[ 0.],[ 0.]
[ 0.42296684],[-0.2231891],[ 0.],[ 0.]
[ 0.42242911],[-0.224362],[ 0.],[ 0.]
[ 0.4218607],[-0.22560182],[ 0.],[ 0.]
[ 0.42125933],[-0.22691352],[ 0.],[ 0.]
[ 0.42062274],[-0.22830205],[ 0.],[ 0.]
[ 0.41998202],[-0.22954902],[ 0.],[ 0.]
[ 0.41935877],[-0.23076199],[ 0.],[ 0.]
[ 0.41875168],[-0.2319435],[ 0.],[ 0.]
[ 0.41815947],[-0.23309605],[ 0.],[ 0.]
[ 0.41758085],[-0.23422217],[ 0.],[ 0.]
[ 0.41701452],[-0.23532437],[ 0.],[ 0.]
[ 0.41645918],[-0.23640518],[ 0.],[ 0.]
[ 0.41591354],[-0.23746709],[ 0.],[ 0.]
[ 0.41537631],[-0.23851265],[ 0.],[ 0.]
[ 0.4148462],[-0.23954436],[ 0.],[ 0.]
[ 0.4143219],[-0.24056474],[ 0.],[ 0.]
[ 0.41380214],[-0.2415763],[ 0.],[ 0.]
[ 0.41328561],[-0.24258157],[ 0.],[ 0.]
[ 0.41277102],[-0.24358307],[ 0.],[ 0.]
[ 0.41225707],[-0.24458331],[ 0.],[ 0.]
[ 0.41174248],[-0.2455848],[ 0.],[ 0.]
[ 0.41122595],[-0.24659008],[ 0.],[ 0.]
[ 0.41070619],[-0.24760164],[ 0.],[ 0.]
[ 0.41018189],[-0.24862202],[ 0.],[ 0.]
[ 0.40965178],[-0.24965373],[ 0.],[ 0.]
[ 0.40911455],[-0.25069929],[ 0.],[ 0.]
[ 0.40856891],[-0.2517612],[ 0.],[ 0.]
[ 0.40801357],[-0.25284201],[ 0.],[ 0.]
[ 0.40744724],[-0.25394421],[ 0.],[ 0.]
[ 0.40686861],[-0.25507033],[ 0.],[ 0.]
[ 0.40627641],[-0.25622288],[ 0.],[ 0.]
[ 0.40566932],[-0.25740439],[ 0.],[ 0.]
[ 0.40504607],[-0.25861736],[ 0.],[ 0.]
[ 0.40440535],[-0.25986433],[ 0.],[ 0.]
[ 0.40374588],[-0.2611478],[ 0.],[ 0.]
[ 0.40303539],[-0.26232189],[ 0.],[ 0.]
[ 0.40235897],[-0.2634397],[ 0.],[ 0.]
[ 0.40171408],[-0.26450539],[ 0.],[ 0.]
[ 0.40109821],[-0.26552314],[ 0.],[ 0.]
[ 0.40050882],[-0.26649711],[ 0.],[ 0.]
[ 0.3999434],[-0.26743148],[ 0.],[ 0.]
[ 0.39939943],[-0.26833041],[ 0.],[ 0.]
[ 0.39887438],[-0.26919807],[ 0.],[ 0.]
[ 0.39836573],[-0.27003863],[ 0.],[ 0.]
[ 0.39787095],[-0.27085626],[ 0.],[ 0.]
[ 0.39738752],[-0.27165513],[ 0.],[ 0.]
[ 0.39691293],[-0.27243941],[ 0.],[ 0.]
[ 0.39644464],[-0.27321327],[ 0.],[ 0.]
[ 0.39598014],[-0.27398087],[ 0.],[ 0.]
[ 0.3955169],[-0.27474639],[ 0.],[ 0.]
[ 0.3950524],[-0.27551399],[ 0.],[ 0.]
[ 0.39458411],[-0.27628785],[ 0.],[ 0.]
[ 0.39410952],[-0.27707212],[ 0.],[ 0.]
[ 0.39362609],[-0.27787099],[ 0.],[ 0.]
[ 0.39313131],[-0.27868863],[ 0.],[ 0.]
[ 0.39262266],[-0.27952919],[ 0.],[ 0.]
[ 0.39209761],[-0.28039685],[ 0.],[ 0.]
[ 0.39155364],[-0.28129578],[ 0.],[ 0.]
[ 0.39098822],[-0.28223015],[ 0.],[ 0.]
[ 0.39039883],[-0.28320412],[ 0.],[ 0.]
[ 0.38978296],[-0.28422187],[ 0.],[ 0.]
